Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,cleaned_tweet
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,rt pengguna pengguna siapa yang telat memberi tau kamu  gue bergaul dengan cigax jifla calis sama siapa itu licew juga
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,0,0,0,0,0,0,pengguna pengguna aku itu aku  ku tau matamu  tapi dilihat dari mana itu aku
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,pengguna pengguna kaum   sudah kelihatan dongoknya dari awal tambah  lagi haha
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,pengguna ya   dan kawan kawan
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilihan kepala daerah  aman dan anti hoaks warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1,0,0,0,0,0,0,0,0,0,0,gue baru saja selesai rewatch aldnoah zero paling  memang akhirnya  karakter utama cowoknya kena friendzone bro xd uniform resource locator
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. �??�; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) �???",0,0,0,0,0,0,0,0,0,0,0,0,nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau   doket mana itu  gerai rozak mertuaku  taipan  depan kembar baby amp romantika  bank islam senawang
USER Enak lg klo smbil ngewe',0,1,0,0,0,0,0,0,0,0,0,0,pengguna enak lagi kalau sambil
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama  kamu
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,pengguna pengguna pengguna pengguna  kaleng malu tidak bisa jawab pertanyaan kami dari  hari lalu nyungsep koe pengguna uniform resource locator
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi pengguna
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huru hara  prabowo si ingin lengserkan pemerintahan jokowi nyata
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,pengguna bu guru enakan jadi  atau guru sekolah dasar sih kayaknya menikmati jadi  ini guru
